address,baths,beds,carparks,extracted_date,land_area,property_type,sold_date,sold_price,state,suburb,zip
702/6 Acacia Pl,1,1,1,07-03-2020,UNAVAILABLE,Unit,28th February 2020,$425k,VIC,Abbotsford,3067
104/10 Trenerry Cr,1,2,1,07-03-2020,UNAVAILABLE,Unit,2nd March 2020,$510k,VIC,Abbotsford,3067
56 Roberts Rd,1,2,1,07-03-2020,266m²,Unit,UNAVAILABLE,$630k,VIC,Airport West,3042
51 York St,2,3,2,07-03-2020,UNAVAILABLE,House,4th March 2020,Price withheld,VIC,Airport West,3042
2/92 Bowes Av,2,3,2,07-03-2020,UNAVAILABLE,Townhouse,26th February 2020,$810k,VIC,Airport West,3042
13 Diamond Av,2,3,3,07-03-2020,530m²,House,10th February 2020,$581k,VIC,Albanvale,3021
21 Entally Dr,1,3,2,07-03-2020,UNAVAILABLE,House,6th March 2020,$568k,VIC,Albanvale,3021
3/10 Hayden Cr,1,2,1,07-03-2020,UNAVAILABLE,Unit,3rd March 2020,$490k,VIC,Albion,3020
16 Alfredton Dr,2,4,3,07-03-2020,864m²,House,24th February 2020,$590.5k,VIC,Alfredton,3350
41 Creekstone Dr,2,4,2,07-03-2020,539m²,House,2nd March 2020,$530k,VIC,Alfredton,3350
177 Dyson Dr,2,4,2,07-03-2020,610m²,House,17th February 2020,$500k,VIC,Alfredton,3350
5 Grauers Rd,2,3,1,07-03-2020,UNAVAILABLE,House,4th March 2020,$295k,VIC,Allansford,3277
49 Davies St,2,4,5,07-03-2020,UNAVAILABLE,House,6th March 2020,$1.92m,VIC,Altona,3018
27-29 Jamison St S,1,4,2,07-03-2020,950m²,House,28th February 2020,$730k,VIC,Altona Meadows,3028
27 Laird Dr,1,3,2,07-03-2020,535m²,House,2nd March 2020,$630k,VIC,Altona Meadows,3028
10-12 Oakdene Gr S,2,4,1,07-03-2020,UNAVAILABLE,House,3rd March 2020,$650k,VIC,Altona Meadows,3028
273 Victoria St,1,3,2,07-03-2020,UNAVAILABLE,House,28th February 2020,$620k,VIC,Altona Meadows,3028
11 Warren Ct,2,4,1,07-03-2020,UNAVAILABLE,House,17th February 2020,$730k,VIC,Altona Meadows,3028
6/53-55 Kyle Rd,2,3,2,07-03-2020,UNAVAILABLE,Townhouse,5th March 2020,$640k,VIC,Altona North,3025
